Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,City or Regency,Province,Country,Continent,Island,Time Zone,Special Status,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Total Deaths per 100rb,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
03-10-2020,ID-JB,Jawa Barat,0,0,0,0,4,1,60,-57,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0,0.09,0,0.02,0,25.00%,1500.00%,1,1
03-10-2020,ID-JT,Jawa Tengah,0,0,0,0,1,10,11,-20,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,0,0.03,0,0.27,0.03,1000.00%,1100.00%,1,1
03-10-2020,ID-RI,Riau,0,0,0,0,1,0,1,0,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851,0,0.16,0,0,0,0.00%,100.00%,1,1
03-10-2020,ID-SG,Sulawesi Tenggara,1,0,0,1,1,0,0,1,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,0.38,0.38,0,0,0,0.00%,0.00%,,
03-11-2020,ID-BA,Bali,1,1,0,0,1,1,3,-3,Province,,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,0.24,0.24,0.24,0.24,0.02,100.00%,300.00%,,
03-11-2020,ID-BT,Banten,0,0,8,-8,2,5,130,-133,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0,0.19,0,0.47,0.05,250.00%,6500.00%,1,1
03-11-2020,ID-JK,DKI Jakarta,0,0,0,0,45,24,75,-54,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0,4.15,0,2.21,0.22,53.33%,166.67%,1,1
03-11-2020,IDN,Indonesia,7,1,0,6,34,1,2,31,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.03,0.13,0,0,0,2.94%,5.88%,0.88,
03-11-2020,ID-JB,Jawa Barat,0,1,0,-1,4,2,60,-58,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0,0.09,0.02,0.04,0,50.00%,1500.00%,1,
03-11-2020,ID-JT,Jawa Tengah,2,1,1,0,3,11,12,-20,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,0.05,0.08,0.03,0.3,0.03,366.67%,400.00%,,
03-11-2020,ID-RI,Riau,0,0,0,0,1,0,1,0,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851,0,0.16,0,0,0,0.00%,100.00%,1,1
03-11-2020,ID-SG,Sulawesi Tenggara,0,0,0,0,1,0,0,1,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,0,0.38,0,0,0,0.00%,0.00%,0,1
03-12-2020,ID-BA,Bali,0,0,0,0,1,1,3,-3,Province,,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,0,0.24,0,0.24,0.02,100.00%,300.00%,0,0
03-12-2020,ID-BT,Banten,0,1,2,-3,2,6,132,-136,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0,0.19,0.09,0.56,0.06,300.00%,6600.00%,1,
03-12-2020,ID-JK,DKI Jakarta,2,1,4,-3,47,25,79,-57,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.18,4.33,0.09,2.3,0.23,53.19%,168.09%,,
03-12-2020,IDN,Indonesia,0,0,0,0,34,1,2,31,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0,0.13,0,0,0,2.94%,5.88%,0,0
03-12-2020,ID-JB,Jawa Barat,1,0,0,1,5,2,60,-57,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.02,0.11,0,0.04,0,40.00%,1200.00%,,0
03-12-2020,ID-JT,Jawa Tengah,0,0,0,0,3,11,12,-20,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,0,0.08,0,0.3,0.03,366.67%,400.00%,0,0
03-12-2020,ID-RI,Riau,0,0,0,0,1,0,1,0,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851,0,0.16,0,0,0,0.00%,100.00%,1,1
03-12-2020,ID-SG,Sulawesi Tenggara,0,0,0,0,1,0,0,1,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,0,0.38,0,0,0,0.00%,0.00%,1,1
3/13/2020,ID-BA,Bali,0,0,0,0,1,1,3,-3,Province,,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,0,0.24,0,0.24,0.02,100.00%,300.00%,1,1
3/13/2020,ID-BT,Banten,1,1,0,0,3,7,132,-136,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.09,0.28,0.09,0.65,0.07,233.33%,4400.00%,,1
3/13/2020,ID-JK,DKI Jakarta,4,1,3,0,51,26,82,-57,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.37,4.7,0.09,2.4,0.24,50.98%,160.78%,2,1
3/13/2020,IDN,Indonesia,35,3,0,32,69,4,2,63,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.13,0.26,0.01,0.02,0,5.80%,2.90%,,
3/13/2020,ID-JB,Jawa Barat,4,0,1,3,9,2,61,-54,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.09,0.2,0,0.04,0,22.22%,677.78%,4,1
3/13/2020,ID-JT,Jawa Tengah,0,0,0,0,3,11,12,-20,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,0,0.08,0,0.3,0.03,366.67%,400.00%,1,1
3/13/2020,ID-RI,Riau,0,0,0,0,1,0,1,0,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851,0,0.16,0,0,0,0.00%,100.00%,1,1
3/13/2020,ID-SG,Sulawesi Tenggara,0,0,0,0,1,0,0,1,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,0,0.38,0,0,0,0.00%,0.00%,1,1
3/14/2020,ID-BA,Bali,0,0,0,0,1,1,3,-3,Province,,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,0,0.24,0,0.24,0.02,100.00%,300.00%,1,1
3/14/2020,ID-BT,Banten,1,0,2,-1,4,7,134,-137,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.09,0.37,0,0.65,0.07,175.00%,3350.00%,1,0
3/14/2020,ID-JK,DKI Jakarta,2,1,1,0,53,27,83,-57,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.18,4.89,0.09,2.49,0.25,50.94%,156.60%,0.5,1
3/14/2020,IDN,Indonesia,27,1,6,20,96,5,8,83,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.1,0.36,0,0.02,0,5.21%,8.33%,0.77,0.33
3/14/2020,ID-JB,Jawa Barat,0,0,0,0,9,2,61,-54,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0,0.2,0,0.04,0,22.22%,677.78%,0,1
3/14/2020,ID-JT,Jawa Tengah,2,0,1,1,5,11,13,-19,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,0.05,0.14,0,0.3,0.03,220.00%,260.00%,,1
3/14/2020,ID-KI,Kalimantan Timur,3,0,0,3,3,0,3,0,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803,0.84,0.84,0,0,0,0.00%,100.00%,,
3/14/2020,ID-RI,Riau,0,0,0,0,1,0,1,0,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851,0,0.16,0,0,0,0.00%,100.00%,1,1
3/14/2020,ID-SG,Sulawesi Tenggara,0,0,0,0,1,0,0,1,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,0,0.38,0,0,0,0.00%,0.00%,1,1
3/15/2020,ID-BA,Bali,0,0,0,0,1,1,3,-3,Province,,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,0,0.24,0,0.24,0.02,100.00%,300.00%,1,1
3/15/2020,ID-BT,Banten,1,0,5,-4,5,7,139,-141,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.09,0.47,0,0.65,0.07,140.00%,2780.00%,1,1
3/15/2020,ID-JK,DKI Jakarta,8,3,0,5,61,30,83,-52,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.74,5.62,0.28,2.77,0.28,49.18%,136.07%,4,3
3/15/2020,IDN,Indonesia,21,0,0,21,117,5,8,104,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.08,0.44,0,0.02,0,4.27%,6.84%,0.78,0
3/15/2020,ID-JB,Jawa Barat,0,0,2,-2,9,2,63,-56,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0,0.2,0,0.04,0,22.22%,700.00%,1,1
3/15/2020,ID-JT,Jawa Tengah,1,0,1,0,6,11,14,-19,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,0.03,0.16,0,0.3,0.03,183.33%,233.33%,0.5,1
3/15/2020,ID-KI,Kalimantan Timur,2,0,0,2,5,0,3,2,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803,0.56,1.41,0,0,0,0.00%,60.00%,0.67,1
3/15/2020,ID-RI,Riau,0,0,0,0,1,0,1,0,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851,0,0.16,0,0,0,0.00%,100.00%,1,1
3/15/2020,ID-SG,Sulawesi Tenggara,0,0,0,0,1,0,0,1,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,0,0.38,0,0,0,0.00%,0.00%,1,1
3/16/2020,ID-BA,Bali,0,0,0,0,1,1,3,-3,Province,,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,0,0.24,0,0.24,0.02,100.00%,300.00%,1,1
3/16/2020,ID-BT,Banten,1,0,4,-3,6,7,143,-144,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.09,0.56,0,0.65,0.07,116.67%,2383.33%,1,1
3/16/2020,ID-JK,DKI Jakarta,2,3,0,-1,63,33,83,-53,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.18,5.81,0.28,3.04,0.3,52.38%,131.75%,0.25,1
3/16/2020,ID-YO,Daerah Istimewa Yogyakarta,1,0,0,1,1,0,2,-1,Province,,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1,78,46,392,3133,3631015,1158.9,110.4448783,-7.89450185,0.28,0.28,0,0,0,0.00%,200.00%,,
3/16/2020,IDN,Indonesia,17,0,0,17,134,5,8,121,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.06,0.51,0,0.02,0,3.73%,5.97%,0.81,1
3/16/2020,ID-JB,Jawa Barat,0,0,2,-2,9,2,65,-58,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0,0.2,0,0.04,0,22.22%,722.22%,1,1
3/16/2020,ID-JT,Jawa Tengah,1,0,0,1,7,11,14,-18,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,0.03,0.19,0,0.3,0.03,157.14%,200.00%,1,1
3/16/2020,ID-KI,Kalimantan Timur,1,0,0,1,6,0,3,3,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803,0.28,1.69,0,0,0,0.00%,50.00%,0.5,1
3/16/2020,ID-RI,Riau,0,0,0,0,1,0,1,0,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851,0,0.16,0,0,0,0.00%,100.00%,1,1
3/16/2020,ID-SG,Sulawesi Tenggara,2,0,0,2,3,0,0,3,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,0.76,1.14,0,0,0,0.00%,0.00%,,1
3/17/2020,ID-BA,Bali,0,0,0,0,1,1,3,-3,Province,,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,0,0.24,0,0.24,0.02,100.00%,300.00%,1,1
